BrandName,Condition,Drug,GenName,HowtoUse,Use
,"skin inflammation, contact dermatitis, a type of skin rash that occurs from contact with an offending substance, plaque psoriasis, itching, skin rash that becomes thick and discolored from rubbing it, disease that causes disc-shaped patches on upper body, granuloma annulare, itching of the anus, itching of the genital area, a type of allergy that causes red and itchy skin called atopic dermatitis, psoriasis of scalp, cutaneous T-cell lymphoma, seborrheic dermatitis, inflammation of the skin due to an allergy",Aquanil HC Lotion,Hydrocortisone,"There are many hydrocortisone products available. Many can be purchased without a prescription. Some products require a prescription. Consult your doctor or pharmacist on the choice of the product that is best for you.Use this medication on the skin only. However, do not use it on the face or underarms unless directed to do so by your doctor. Some products are meant to be used on the scalp for various conditions. To correctly use these products, follow the directions on the product package.Wash and dry your hands before using. Clean and dry the affected area. If you are using the lotion or foam, shake it well just before using. If you are using the spray, check the product package to see if it needs to be shaken before each use. Apply a small amount of medication to the affected area and gently rub in, usually up to 4 times a day or as directed by your doctor or the product package. Dosage and length of treatment depends on the type of condition being treated. Do not bandage, cover, or wrap the area unless directed to do so by your doctor. If used in or near the diaper area on an infant, do not use tight-fitting diapers or plastic pants.After applying the medication, wash your hands, unless the hands are being treated. Avoid getting this medication in the eyes, nose, or mouth. If you get the medication in these areas, rinse with plenty of water. If irritation occurs or continues, contact your doctor right away.Use this medication only for the condition for which it was prescribed or a condition that is listed on the product package. Do not use it for longer than directed by the product package or your doctor.Tell your doctor if your condition persists or worsens after 7 days or if you think you may have a serious medical problem.","This medication is used to treat a variety of skin conditions (e.g., insect bites, poison oak/ivy, eczema, dermatitis, allergies, rash, itching of the outer female genitals, anal itching). Hydrocortisone reduces the swelling, itching, and redness that can occur in these types of conditions. This medication is a mild corticosteroid."
,,Aquamed Lotion,Alcohol-Propylene Glycol,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,deficiency of vitamin E,Aqua-E Concentrate,Tocophersolan (Vit E Tpgs),"Take this product by mouth, usually once daily or as directed by your doctor. Follow all directions on the product package. If you are uncertain about any of the information, consult your doctor or pharmacist.Shake the container well before measuring each dose. Carefully measure the dose using a special measuring device/spoon. Do not use a household spoon because you may not get the correct dose. Dosage is based on your medical condition and response to treatment. Do not increase your dose or take it more often than recommended. Taking too much vitamin E may increase your risk of side effects.High doses of vitamin E (more than 400 units a day) may increase the chance of rare but very serious side effects. There is no proof that high doses of vitamin E help to prevent or treat heart disease. There is very little evidence that it helps prevent or treat Alzheimer's disease. In some people, high doses may even be harmful. Before taking extra vitamin E, discuss the risks and benefits with your doctor or pharmacist.If your doctor prescribes this product for low levels (deficiency) of vitamin E, use it regularly to get the most benefit from it. To help you remember, take it at the same time each day. You should see improvement of symptoms such as numbness/tingling of the hands/feet and weakness. If your condition persists or worsens, or if you think you may have a serious medical problem, seek immediate medical attention.","This product is a man-made form of vitamin E, a fatty substance that the body needs. Natural vitamin E is found in high-fat foods such as nuts and oils. This product provides vitamin E to people who cannot absorb fats due to disease (e.g., cholestatic liver disease, short bowel syndrome). A low level of vitamin E in the body is rare. Most people who eat a normal diet do not need extra vitamin E.Too little vitamin E can cause nerve problems (numbness, tingling, loss of balance). Vitamin E is important in protecting your body's cells from damage. It is known as an antioxidant."
,,Aqua-E,Vitamin E Mixed-Tocotrienol,"Take this product by mouth as directed. Follow all directions on the product package. If you are uncertain about any of the information, consult your doctor or pharmacist.If you are using a liquid form of this product, carefully measure your dose using a medication-measuring device or spoon. Do not use a household spoon because you may not get the correct dose. If your liquid form is a suspension, shake the bottle well before each dose.Dosage is based on your medical condition and response to treatment. Do not increase your dose or take it more often than recommended. Taking too much vitamin E may increase your risk of side effects.High doses of vitamin E (400 units or more per day) may increase the chance of rare but very serious side effects. There is no proof that high doses of vitamin E help to prevent or treat heart disease. There is very little evidence that it helps prevent or treat Alzheimer's disease. In some people, taking these high doses may even be harmful. Talk to your doctor or pharmacist and discuss the risks and benefits before taking vitamin E supplements.If your doctor prescribes this product for vitamin E deficiency, use it regularly to get the most benefit from it. To help you remember, take it at the same time each day. You should see improvement of symptoms such as numbness/tingling of the hands/feet and weakness. If your condition persists or worsens, or if you think you may have a serious medical problem, seek immediate medical attention.","This supplement is used to prevent or treat a lack of vitamin E in the body. A low body level of vitamin E is rare. Most people who eat a normal diet do not need extra vitamin E. However, vitamin E supplements are used in premature newborns and in people who have problems absorbing enough vitamin E from their diets. Vitamin E is important in protecting your body's cells from damage. It is known as an antioxidant."
,,Adyphren Amp II Kit,Epinephrine,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,,Aquadeks,"Multivit-Min-Fa-Coenzyme Q10, Mv. Min Cmb#51-Fa-K-Q10, Multivit,Min52-Folic-Vitk-Cq10",Consult your pharmacist or physician.,Consult your pharmacist or physician.
,"a prolonged asthma attack, sinus bradycardia, a significant type of allergic reaction called anaphylaxis, complete stoppage of the heart, sudden drop in blood pressure, a significant drop in blood pressure due to bacterial infection, ventricular fibrillation, a heart rhythm disorder, an allergic reaction, additional local anesthesia",Adyphren Amp Kit,Epinephrine,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,"rheumatoid arthritis, joint inflammatory disease in children and young adults, fever, pain, Non-Radiographic Axial Spondyloarthritis, joint damage causing pain and loss of function, head pain, a type of joint disorder due to excess uric acid in the blood called gout, pain with menstruation, ankylosing spondylitis, a rheumatic disease causing pain and stiffness in backbone, minor musculoskeletal injury","Advil Tablet, Chewable",Ibuprofen,"Read and follow all directions on the product package before using this medication. If you have any questions, ask your doctor or pharmacist.Take this medication by mouth as directed by your doctor or the package label, usually every 6 to 8 hours as needed. Chew thoroughly and then swallow this medication. If you have stomach upset while taking this medication, take it with food, milk, or an antacid.The dosage is based on your medical condition and response to treatment. To reduce your risk of stomach bleeding and other side effects, take this medication at the lowest effective dose for the shortest possible time. Do not increase your dose or take this drug more often than directed by your doctor or the package label.When ibuprofen is used by children, the dose is based on the child's weight. Read the package directions to find the proper dose for your child's weight. Consult the pharmacist or doctor if you have questions or if you need help choosing a nonprescription product.If you are using this drug ""as needed"" (not on a regular schedule), remember that pain medications work best if they are used as the first signs of pain occur. If you wait until the pain has worsened, the medication may not work as well.If your condition persists or worsens, or if you think you may have a serious medical problem, get medical help right away. If you are using the nonprescription product to treat yourself or a child for fever or pain, consult the doctor right away if fever worsens or lasts more than 3 days, or if pain worsens or lasts more than 10 days.","Ibuprofen is used to relieve pain from various conditions such as headache, dental pain, menstrual cramps, muscle aches, or arthritis. It is also used to reduce fever and to relieve minor aches and pain due to the common cold or flu. Ibuprofen is a nonsteroidal anti-inflammatory drug (NSAID). It works by blocking your body's production of certain natural substances that cause inflammation. This effect helps to decrease swelling, pain, or fever.If you are treating a chronic condition such as arthritis, ask your doctor about non-drug treatments and/or using other medications to treat your pain. See also Warning section.This form of ibuprofen is intended for use by children. Do not give this medication to a child younger than 2 years unless directed by the doctor.Check the ingredients on the label even if you have used the product before. The manufacturer may have changed the ingredients. Also, products with similar names may contain different ingredients meant for different purposes. Taking the wrong product could harm you."
,"itching, skin irritation, minor skin wound pain",Advocate Pain Relief Liquid,Benzocaine,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,"difficulty sleeping, pain",Advil PM Tablet,Ibuprofen-Diphenhydramine Cit,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,"treatment to prevent vitamin deficiency, vitamin deficiency",Aquadeks Drops,Pedi Multivit 40-Phytonadione,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,"stuffy nose, fever, pain, a sinus headache",Advil Cold & Sinus,Pseudoephedrine-Ibuprofen,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,"difficulty sleeping, pain",Advil PM,Ibuprofen-Diphenhydramine Hcl,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,"rheumatoid arthritis, minor musculoskeletal injury, pain with menstruation, joint inflammatory disease in children and young adults, ankylosing spondylitis, a rheumatic disease causing pain and stiffness in backbone, fever, head pain, joint damage causing pain and loss of function, a type of joint disorder due to excess uric acid in the blood called gout, pain, Non-Radiographic Axial Spondyloarthritis",Advil Migraine,Ibuprofen,"If you are taking the over-the-counter product, read all directions on the product package before taking this medication. If your doctor has prescribed this medication, read the Medication Guide provided by your pharmacist before you start taking ibuprofen and each time you get a refill. If you have any questions, ask your doctor or pharmacist.Take this medication by mouth, usually every 4 to 6 hours with a full glass of water (8 ounces/240 milliliters) unless your doctor directs you otherwise. Do not lie down for at least 10 minutes after taking this drug. If you have stomach upset while taking this medication, take it with food, milk, or an antacid.The dosage is based on your medical condition and response to treatment. To reduce your risk of stomach bleeding and other side effects, take this medication at the lowest effective dose for the shortest possible time. Do not increase your dose or take this drug more often than directed by your doctor or the package label. For ongoing conditions such as arthritis, continue taking this medication as directed by your doctor.When ibuprofen is used by children, the dose is based on the child's weight. Read the package directions to find the proper dose for your child's weight. Consult the pharmacist or doctor if you have questions or if you need help choosing a nonprescription product.For certain conditions (such as arthritis), it may take up to two weeks of taking this drug regularly until you get the full benefit.If you are taking this drug ""as needed"" (not on a regular schedule), remember that pain medications work best if they are used as the first signs of pain occur. If you wait until the pain has worsened, the medication may not work as well.If your condition persists or worsens, or if you think you may have a serious medical problem, get medical help right away. If you are using the nonprescription product to treat yourself or a child for fever or pain, consult the doctor right away if fever worsens or lasts more than 3 days, or if pain worsens or lasts more than 10 days.","Ibuprofen is used to relieve pain from various conditions such as headache, dental pain, menstrual cramps, muscle aches, or arthritis. It is also used to reduce fever and to relieve minor aches and pain due to the common cold or flu. Ibuprofen is a nonsteroidal anti-inflammatory drug (NSAID). It works by blocking your body's production of certain natural substances that cause inflammation. This effect helps to decrease swelling, pain, or fever.If you are treating a chronic condition such as arthritis, ask your doctor about non-drug treatments and/or using other medications to treat your pain. See also Warning section.Check the ingredients on the label even if you have used the product before. The manufacturer may have changed the ingredients. Also, products with similar names may contain different ingredients meant for different purposes. Taking the wrong product could harm you."
,"bleeding prevention in hereditary factor VIII deficiency, bleeding in hemophilia A, hemophilia A",Adynovate Vial,"Antihemo.Fviii,Full Length Peg","This medication is given by injection into a vein as directed by your doctor. The medication may need to be given more slowly over a longer time depending on your dose and how you respond to it.After first receiving this medication in a hemophilia treatment center or hospital, some patients may be able to give this medication to themselves at home. If your doctor directs you to give this medication at home, read the Patient Information Leaflet available from your pharmacist before you start using this medication and each time you get a refill. Learn all preparation and usage instructions in the product package. Learn how to store and discard needles and medical supplies safely. If you have any questions, ask your health care professional.If the medication and the solution used to mix it were refrigerated, bring both to room temperature before combining. After adding the solution to the powder, gently swirl the mixture to completely dissolve the powder. Do not shake. Before using this product, check it visually for particles or discoloration. If either is present, do not use the liquid. Use right away according to the product instructions.The dosage is based on your medical condition, weight, blood test results, and response to treatment. Follow your doctor's instructions closely.Tell your doctor if your condition does not improve or if it worsens.","This medication is used to control and prevent bleeding episodes in people with low levels of factor VIII (hemophilia A). It is also used in these patients before surgery to prevent bleeding. People with low factor VIII levels are at risk for bleeding longer after an injury/surgery and for bleeding inside the body (especially into the joints and muscles). This product contains a man-made form of factor VIII, also called antihemophilic factor. This product is used to temporarily replace the missing factor VIII, a protein (clotting factor) that is normally in the blood, so that the blood can clot and the bleeding can stop.This medication should not be used to treat von Willebrand disease."
,"rheumatoid arthritis, joint inflammatory disease in children and young adults, fever, pain, Non-Radiographic Axial Spondyloarthritis, joint damage causing pain and loss of function, head pain, a type of joint disorder due to excess uric acid in the blood called gout, pain with menstruation, ankylosing spondylitis, a rheumatic disease causing pain and stiffness in backbone, minor musculoskeletal injury",Advil Tablet,Ibuprofen,"If you are taking the over-the-counter product, read all directions on the product package before taking this medication. If your doctor has prescribed this medication, read the Medication Guide provided by your pharmacist before you start taking ibuprofen and each time you get a refill. If you have any questions, ask your doctor or pharmacist.Take this medication by mouth, usually every 4 to 6 hours with a full glass of water (8 ounces/240 milliliters) unless your doctor directs you otherwise. Do not lie down for at least 10 minutes after taking this drug. If you have stomach upset while taking this medication, take it with food, milk, or an antacid.The dosage is based on your medical condition and response to treatment. To reduce your risk of stomach bleeding and other side effects, take this medication at the lowest effective dose for the shortest possible time. Do not increase your dose or take this drug more often than directed by your doctor or the package label. For ongoing conditions such as arthritis, continue taking this medication as directed by your doctor.When ibuprofen is used by children, the dose is based on the child's weight. Read the package directions to find the proper dose for your child's weight. Consult the pharmacist or doctor if you have questions or if you need help choosing a nonprescription product.For certain conditions (such as arthritis), it may take up to two weeks of taking this drug regularly until you get the full benefit.If you are taking this drug ""as needed"" (not on a regular schedule), remember that pain medications work best if they are used as the first signs of pain occur. If you wait until the pain has worsened, the medication may not work as well.If your condition persists or worsens, or if you think you may have a serious medical problem, get medical help right away. If you are using the nonprescription product to treat yourself or a child for fever or pain, consult the doctor right away if fever worsens or lasts more than 3 days, or if pain worsens or lasts more than 10 days.","Ibuprofen is used to relieve pain from various conditions such as headache, dental pain, menstrual cramps, muscle aches, or arthritis. It is also used to reduce fever and to relieve minor aches and pain due to the common cold or flu. Ibuprofen is a nonsteroidal anti-inflammatory drug (NSAID). It works by blocking your body's production of certain natural substances that cause inflammation. This effect helps to decrease swelling, pain, or fever.If you are treating a chronic condition such as arthritis, ask your doctor about non-drug treatments and/or using other medications to treat your pain. See also Warning section.Check the ingredients on the label even if you have used the product before. The manufacturer may have changed the ingredients. Also, products with similar names may contain different ingredients meant for different purposes. Taking the wrong product could harm you."
,"stuffy nose, runny nose, a sinus headache, inflammation of the nose due to an allergy, allergic conjunctivitis, flu-like symptoms",Advil Allergy-Congestion Rlf,Chlorphen-Phenyleph-Ibuprofen,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,,Advantage With Iron 2.07 Gram-5.6 Gram/100 Kcal Oral Powder,Infant Formula-Iron-Dha-Ara,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,,Advanced Wound Cleanser,Poloxamer 188-Sorbitol-Urea,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,"rheumatoid arthritis, joint inflammatory disease in children and young adults, Non-Radiographic Axial Spondyloarthritis, head pain, a type of joint disorder due to excess uric acid in the blood called gout, pain with menstruation, fever, joint damage causing pain and loss of function, pain, minor musculoskeletal injury, ankylosing spondylitis, a rheumatic disease causing pain and stiffness in backbone",Advil,Ibuprofen,"If you are taking the over-the-counter product, read all directions on the product package before taking this medication. If your doctor has prescribed this medication, read the Medication Guide provided by your pharmacist before you start taking ibuprofen and each time you get a refill. If you have any questions, ask your doctor or pharmacist.Take this medication by mouth, usually every 4 to 6 hours with a full glass of water (8 ounces/240 milliliters) unless your doctor directs you otherwise. Do not lie down for at least 10 minutes after taking this drug. If you have stomach upset while taking this medication, take it with food, milk, or an antacid.The dosage is based on your medical condition and response to treatment. To reduce your risk of stomach bleeding and other side effects, take this medication at the lowest effective dose for the shortest possible time. Do not increase your dose or take this drug more often than directed by your doctor or the package label. For ongoing conditions such as arthritis, continue taking this medication as directed by your doctor.When ibuprofen is used by children, the dose is based on the child's weight. Read the package directions to find the proper dose for your child's weight. Consult the pharmacist or doctor if you have questions or if you need help choosing a nonprescription product.For certain conditions (such as arthritis), it may take up to two weeks of taking this drug regularly until you get the full benefit.If you are taking this drug ""as needed"" (not on a regular schedule), remember that pain medications work best if they are used as the first signs of pain occur. If you wait until the pain has worsened, the medication may not work as well.If your condition persists or worsens, or if you think you may have a serious medical problem, get medical help right away. If you are using the nonprescription product to treat yourself or a child for fever or pain, consult the doctor right away if fever worsens or lasts more than 3 days, or if pain worsens or lasts more than 10 days.","Ibuprofen is used to relieve pain from various conditions such as headache, dental pain, menstrual cramps, muscle aches, or arthritis. It is also used to reduce fever and to relieve minor aches and pain due to the common cold or flu. Ibuprofen is a nonsteroidal anti-inflammatory drug (NSAID). It works by blocking your body's production of certain natural substances that cause inflammation. This effect helps to decrease swelling, pain, or fever.If you are treating a chronic condition such as arthritis, ask your doctor about non-drug treatments and/or using other medications to treat your pain. See also Warning section.Check the ingredients on the label even if you have used the product before. The manufacturer may have changed the ingredients. Also, products with similar names may contain different ingredients meant for different purposes. Taking the wrong product could harm you."
,,Advanced Probiotic-10 13 Mg (3 Billion Cell) Capsule Antidiarrheal Formulations With Gut Flora Microorganisms,Lacto No.41-B.Bifid-B.Animalis,"Follow all directions on the product package. Refer to the label directions for your specific product to see if the dose should be swallowed whole, chewed, sprinkled onto food or mixed with liquid. If you are uncertain about any of the information, consult your doctor or pharmacist.Some probiotic products may contain live bacteria (such as bifidobacteria). Antibiotics may prevent these products from working well. Take any product containing live bacteria at least 2 to 3 hours before or after taking antibiotics. Follow the directions for your specific product.If you are taking this product for diarrhea due to antibiotics, do not use it if you have a high fever or for more than 2 days, unless directed by your doctor. You may have a serious problem that requires medical treatment.If your condition persists or worsens, or if you think you may have a serious medical problem, seek immediate medical attention.","Probiotics contain different types of micro-organisms such as yeast (saccharomyces boulardii) and bacteria (such as lactobacillus, bifidobacterium). Micro-organisms (flora) are naturally found in the stomach/intestines/vagina. Some conditions (such as antibiotic use, travel) can change the normal balance of bacteria/yeast. Probiotics are used to improve digestion and restore normal flora.Probiotics have been used to treat bowel problems (such as diarrhea, irritable bowel), eczema, vaginal yeast infections, lactose intolerance, and urinary tract infections.Probiotics are available in foods (such as yogurt, milk, juices, soy beverages) and as dietary supplements (capsules, tablets, powders). Different products have different uses. Check the label for information on uses for your particular product.Some diet supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details regarding the particular brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
,,Advanced Probiotic,"L.Acidop,Cas,Lac,Rha-B.Lac,Lon","Follow all directions on the product package. Refer to the label directions for your specific product to see if the dose should be swallowed whole, chewed, sprinkled onto food or mixed with liquid. If you are uncertain about any of the information, consult your doctor or pharmacist.Some probiotic products may contain live bacteria (such as bifidobacteria). Antibiotics may prevent these products from working well. Take any product containing live bacteria at least 2 to 3 hours before or after taking antibiotics. Follow the directions for your specific product.If you are taking this product for diarrhea due to antibiotics, do not use it if you have a high fever or for more than 2 days, unless directed by your doctor. You may have a serious problem that requires medical treatment.If your condition persists or worsens, or if you think you may have a serious medical problem, seek immediate medical attention.","Probiotics contain different types of micro-organisms such as yeast (saccharomyces boulardii) and bacteria (such as lactobacillus, bifidobacterium). Micro-organisms (flora) are naturally found in the stomach/intestines/vagina. Some conditions (such as antibiotic use, travel) can change the normal balance of bacteria/yeast. Probiotics are used to improve digestion and restore normal flora.Probiotics have been used to treat bowel problems (such as diarrhea, irritable bowel), eczema, vaginal yeast infections, lactose intolerance, and urinary tract infections.Probiotics are available in foods (such as yogurt, milk, juices, soy beverages) and as dietary supplements (capsules, tablets, powders). Different products have different uses. Check the label for information on uses for your particular product.Some diet supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details regarding the particular brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
,,Advanced Multi EA,Mv-Mn-Iron-Fa-Vit K-Chol-Coq10,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,"red eyes, dry eye, eye irritation",Advanced Formula Eye Drops,Tetrahydrz-Dextrn70-Peg400-Pov,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,"red eyes, dry eye, eye irritation",ADVANCED EYE RELIEF REDNESS Drops,Naphazoline-Hypromellose,"Follow all directions on the product package, or use as directed by your doctor. If you are uncertain about any of the information, consult your doctor or pharmacist.To apply eye drops, wash your hands first. To avoid contamination, do not touch the dropper tip or let it touch your eye or any other surface.Remove contact lenses before applying the eye drops. Wait at least 10 minutes after using this medication before inserting contact lenses.Before using, check this product visually. Do not use if the liquid has changed color or is cloudy. Use in affected eye(s) as directed.Tilt your head back, look upward, and pull down the lower eyelid to make a pouch. Hold the dropper directly over the eye and place 1 drop into the pouch. Look downward and gently close your eyes for 1 to 2 minutes. Place one finger at the corner of the eye near the nose and apply gentle pressure. This will prevent the medication from draining away from the eye. Try not to blink and do not rub the eye. Repeat these steps if your dose is for more than 1 drop and for the other eye if so directed.Do not rinse the dropper. Replace the dropper cap tightly after each use.If you are using another kind of eye medication (e.g., drops or ointments), wait at least 5 minutes before applying other medications. Use eye drops before eye ointments to allow the eye drops to enter the eye.Overuse of this type of medication may result in increased eye redness (rebound hyperemia). Tell your doctor if this occurs or if your condition persists or worsens after 48 hours.","Naphazoline is a decongestant used to relieve redness, puffiness, and itchy/watering eyes due to colds, allergies, or eye irritations (smog, swimming, or wearing contact lenses). It is known as a sympathomimetic (alpha receptor agonist) that works in the eye to decrease congestion.Some brands of naphazoline eye drops also contain other ingredients. Lubricants (such as glycerin, hypromellose, or polyethylene glycol 300) help protect the eyes from more irritation. Zinc sulfate, an astringent, helps reduce redness and irritation."
,"allergic conjunctivitis, flu-like symptoms, runny nose, inflammation of the nose due to an allergy, a sinus headache, stuffy nose",Advil Allergy Sinus 2 Mg-30 Mg-200 Mg Tablet,Chlorphen-Pseudoeph-Ibuprofen,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,"suppression of the gag reflex, irritation of the mouth, administration of local anesthetic drug",Advanced DNA Medicated Collect Kit,Lidocaine-Glycerin,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,"dry eye, keratoconjunctivitis sicca, or dry and inflamed cornea and conjunctiva of the eye",Advanced Eye Relief Drops,Propylene Glycol-Glycerin,"Follow all directions on the product package. If you are uncertain about any of the information, consult your doctor or pharmacist. Do not use a solution that has changed color or is cloudy. Certain brands (containing glycerin with polysorbates, among other ingredients) may have a milky appearance. This is okay as long as the solution does not change color. Some eye drops need to be shaken before use. Check the label to see if you should shake your product before using.Usually, drops may be used as often as needed. Ointments are usually used 1 to 2 times daily as needed. If using an ointment once a day, it may be best to use it at bedtime.To apply eye ointment/drops/gels: Wash hands first. To avoid contamination, be careful not to touch the dropper or top of the ointment tube or let it touch your eye. Always replace the cap tightly after each use. Tilt your head back, look up, and pull down the lower eyelid to make a pouch. For drops/gels, place the dropper directly over the eye and squeeze out 1 or 2 drops as needed. Look down and gently close your eye for 1 or 2 minutes. Place one finger at the corner of the eye near the nose and apply gentle pressure. This will prevent the medication from draining away from the eye. For an ointment, hold the tube directly over the eye and gently squeeze a small strip (one-fourth of an inch or roughly 6 millimeters) of ointment into the pouch. Release the eyelid, close the eye, and slowly roll your eye in all directions to spread the medication. Blot away any extra ointment from around the eye with a clean tissue.If you are also using another kind of eye medication (e.g., drops or ointments), wait at least 5 minutes before applying other medications. Use eye drops before eye ointments to allow the eye drops to enter the eye.If you wear contact lenses, remove them before using most kinds of eye lubricants. Ask your doctor or pharmacist when you may replace your contact lenses. There are a few types of eye lubricants (some that contain polysorbates) that can be used while wearing contact lenses. Check the package to see if you can wear your contact lenses while using your product.Tell your doctor if your condition persists or worsens after 3 days.","This medication is used to relieve dry, irritated eyes. Common causes for dry eyes include wind, sun, heating/air conditioning, computer use/reading, and certain medications.This product may contain 1 or more of the following ingredients: carboxymethylcellulose, dextran, glycerin, hypromellose, polyethylene glycol 400 (PEG 400), polysorbate, polyvinyl alcohol, povidone, or propylene glycol, among others.Eye lubricants keep the eye moist, help to protect the eye from injury and infection, and decrease symptoms of dry eyes such as burning, itching, and feeling as if something is in the eye."
,acne,Advanced Exfoliating Cleanser,Benzoyl Peroxide,"Read the Patient Information Leaflet if available from your pharmacist before you start using this product and each time you get a refill. If you have any questions, ask your doctor or pharmacist.Before using this product for the first time, check if you are allergic to it. To check, put a small amount on one or two small areas of acne for three days. If you have an allergic reaction, stop using this product and get medical help right away (see the symptoms of an allergic reaction in the Side Effects section). If you don't have an allergic reaction, you can use the product.There are many benzoyl peroxide products available. Many can be purchased without a prescription. Some products (such as cleansers, foam, or lotions) may require a prescription. Consult your doctor or pharmacist on the choice of the product that is best for you. If you are using the over-the-counter product to self-treat, read and follow all directions on the product package before using this medication. If you have any questions, consult your pharmacist. If your doctor has prescribed this medication, use it as directed.Some products require shaking before use. Check your product package to see if your form of this medication needs to be shaken.Apply benzoyl peroxide to the areas of your skin affected by acne. Avoid getting this medication into your eyes, inside your nose or mouth, or on any areas of broken skin since it may cause irritation. If this occurs, flush the area with plenty of water. Benzoyl peroxide may bleach hair or fabrics. Use carefully, and avoid contact with hair, clothing, and furnishings.If using cleansers containing benzoyl peroxide, wet the affected area. Gently rub the cleanser into the skin for 10-20 seconds. Work into a full lather and rinse thoroughly and then pat dry. If too much drying occurs, you may need to rinse the cleanser off sooner or use it less often. Consult your doctor or pharmacist for further details.If you are using the liquid wash, cleansing pad, or cleanser bar, use it instead of soap once or twice a day. Wet the skin before applying, gently work up a lather for 10 to 20 seconds, and rinse thoroughly. Do not scrub the skin.If using the shaving cream, first wet the area to be shaved. Apply a small amount of the medication, gently rub into the area, and then shave.If you are using a cream, foam, lotion, or gel, apply it to the affected area as directed, usually once or twice a day. Before applying each dose, gently wash the affected area with a mild cleanser, then pat dry. Apply a small amount of medicine to the affected area and rub in gently. Some products may require rinsing off after application for a certain amount of time. Check your product package to see if your form of this medication needs to be rinsed off.If you are using the medicated pads or sponges, wash the affected skin with a mild cleanser, then pat dry. Wipe the pad or sponge gently onto the skin to apply the medication, usually once or twice a day to the skin as directed.The dosage is based on your medical condition and response to therapy. Improvement in acne is usually seen after 3 weeks of use, and maximum benefit after 8-12 weeks of use. Do not increase your dose or use this drug more often or for longer than directed. Your condition will not improve any faster, and your risk of side effects will increase.If your condition persists or worsens, or if you think you may have a serious medical problem, get medical help right away.","This medication is used to treat mild to moderate acne. It may be used in combination with other acne treatments. When applied to the skin, benzoyl peroxide works by reducing the amount of acne-causing bacteria and by causing the skin to dry and peel.Check the ingredients on the label even if you have used the product before. The manufacturer may have changed the ingredients. Also, products with similar names may contain different ingredients meant for different purposes. Taking the wrong product could harm you."
,"post-menopausal osteoporosis prevention, low amount of calcium in the blood, osteoporosis, a condition of weak bones, prevention of a low amount of calcium in the blood",ADVANCED Calcium,"Calcium-Minerals-D3-K2-Silicon, Calcium-Mg-Zinc-Hc #122-Vit D3",Consult your pharmacist or physician.,Consult your pharmacist or physician.
,"indigestion, gas, heartburn",Advanced ANTACID,Alum-Mag Hydroxide-Simeth,"Take this medication by mouth, usually after meals and at bedtime as needed. Follow all the directions on the product package or use as directed by your doctor. If you are uncertain about any of this information, consult your doctor or pharmacist.If you are taking the chewable tablets, chew thoroughly before swallowing, then drink a full glass of water (8 ounces or 240 milliliters).If you are using the liquid form of this medication, shake the bottle well before pouring each dose. Measure the dose out carefully using a medication spoon/cup. Do not use a household spoon because you may not get the right dose. Refrigerating the suspension may improve the flavor. Do not freeze. The liquid form works best if taken without other fluids. You can mix your dose with a little water if needed.This product may react with other medications (including digoxin, iron, pazopanib, tetracycline antibiotics, quinolone antibiotics such as ciprofloxacin), preventing them from being fully absorbed by your body. Talk with your doctor or pharmacist about how to schedule your medications to prevent this problem.If your acid problems persist or worsen after you have used this product for 1 week, or if you think you have a serious medical problem, seek immediate medical attention. If you are using this medication regularly on a daily basis for more than 2 weeks, you may have a medical problem that needs different treatment. Ask your doctor whether this is the right medication for you.","This medication is used to treat the symptoms of too much stomach acid such as stomach upset, heartburn, and acid indigestion. It is also used to relieve symptoms of extra gas such as belching, bloating, and feelings of pressure/discomfort in the stomach/gut. Simethicone helps break up gas bubbles in the gut. Aluminum and magnesium antacids work quickly to lower the acid in the stomach. Liquid antacids usually work faster/better than tablets or capsules.This medication works only on existing acid in the stomach. It does not prevent acid production. It may be used alone or with other medications that lower acid production (including H2 blockers such as cimetidine/ranitidine and proton pump inhibitors such as omeprazole).If you are self-treating with this medication, carefully read the package instructions before you start using this product to be sure it is right for you. Some products have similar brand names but different active ingredients with different uses. Taking the wrong product could harm you. Ask your pharmacist if you have any questions about your product or its use."
